id,title,description,format,category,difficulty,content_json,solution,xp_reward,created_at,branch
4c962940-9016-4bd3-8af3-8ee89ae29afc,The River Crossing,A classic logic riddle about getting everyone across,riddle,logic,2,"{""hints"": [""Think about what can be left together safely"", ""The farmer may need to bring something back""], ""question"": ""A farmer needs to cross a river with a fox, a chicken, and a bag of grain. The boat can only carry the farmer and one item. If left alone, the fox will eat the chicken, and the chicken will eat the grain. How does the farmer get everything across?""}","Take chicken across, return, take grain across, bring chicken back, take fox across, return, take chicken across.",15,2026-02-16 11:32:17.524446+00,iq
60a5aab8-eb8e-4e86-9790-44bbf082dd6a,The Two Doors,A famous logic puzzle about truth and lies,riddle,logic,3,"{""hints"": [""Think about asking about the other guard"", ""Use a double negative strategy""], ""question"": ""You face two doors. One leads to freedom, the other to doom. Two guards stand before them—one always tells the truth, one always lies. You can ask ONE question to ONE guard. What do you ask?""}","Ask either guard: \""Which door would the OTHER guard say leads to freedom?\"" Then choose the opposite door.",20,2026-02-16 11:32:17.524446+00,iq
cb5ef1f2-d88d-428a-af8e-544ec4f7ddbd,The Burning Rope,A time measurement puzzle,riddle,logic,3,"{""hints"": [""You can light both ends of a rope"", ""Start both ropes at the same time but differently""], ""question"": ""You have two ropes that each take exactly 1 hour to burn, but they burn at uneven rates. How do you measure exactly 45 minutes?""}","Light rope 1 from both ends and rope 2 from one end. When rope 1 is gone (30 min), light rope 2 from the other end. It will burn for 15 more minutes. Total: 45 min.",20,2026-02-16 11:32:17.524446+00,iq
01da6ba2-730b-4676-a461-da0e84ddeb3f,The Missing Dollar,A classic arithmetic riddle,riddle,pattern,2,"{""hints"": [""The question misleads with how it adds"", ""Try tracking where all $30 actually went""], ""question"": ""Three friends pay $30 for a hotel room ($10 each). The manager realizes it should be $25 and gives $5 to the bellboy to return. The bellboy keeps $2 and gives $1 back to each friend. Each paid $9 (total $27), the bellboy has $2. $27 + $2 = $29. Where is the missing dollar?""}",There is no missing dollar. The $27 paid includes the $2 the bellboy kept. $25 (hotel) + $2 (bellboy) + $3 (returned) = $30.,15,2026-02-16 11:32:17.524446+00,iq
5a4b4dbd-42bc-4fdb-91b0-d7017ab43f48,The Light Bulb Room,A practical logic problem,riddle,logic,2,"{""hints"": [""Think beyond just on and off"", ""Light bulbs produce more than just light""], ""question"": ""You are outside a room with 3 light switches. Inside the room is a single light bulb. You can flip switches as much as you want but can only enter the room ONCE. How do you determine which switch controls the bulb?""}","Turn switch 1 ON for 10 minutes, turn it OFF, turn switch 2 ON, enter. If bulb is ON = switch 2. If OFF but WARM = switch 1. If OFF and COLD = switch 3.",15,2026-02-16 11:32:17.524446+00,iq
9979c773-34c6-4748-ad05-43fe2ca4f272,The Man in the Elevator,Why does he take the stairs?,lateral_thinking,logic,2,"{""situation"": ""A man lives on the 10th floor. Every day he takes the elevator down to go to work. When he returns, he takes the elevator to the 7th floor and walks up 3 flights of stairs to his apartment. Why?"", ""yes_no_hints"": [{""answer"": ""no"", ""question"": ""Is the elevator broken?""}, {""answer"": ""no"", ""question"": ""Is he exercising?""}, {""answer"": ""no"", ""question"": ""Can he reach all buttons?""}, {""answer"": ""yes"", ""question"": ""Is his height relevant?""}]}",The man is short and can only reach the button for the 7th floor.,20,2026-02-16 11:32:17.524446+00,iq
efbad02e-2a59-4884-a6e3-b52447cedb39,The Surgeon's Dilemma,Who is the surgeon?,lateral_thinking,logic,1,"{""situation"": ""A father and son are in a car accident. The father dies. The boy is rushed to the hospital. The surgeon looks at the boy and says, 'I cannot operate on this boy—he is my son.' How is this possible?"", ""yes_no_hints"": [{""answer"": ""no"", ""question"": ""Is there a stepfather involved?""}, {""answer"": ""no"", ""question"": ""Is the surgeon male?""}, {""answer"": ""yes"", ""question"": ""Is the surgeon related to the boy?""}]}",The surgeon is the boy's mother.,10,2026-02-16 11:32:17.524446+00,iq
c87a1845-08b6-4c4f-9181-297703e24410,Death in a Field,What happened to the man?,lateral_thinking,logic,3,"{""situation"": ""A man is found dead in a field. He is clutching a broken piece of wood. There are no footprints around him other than his own. How did he die?"", ""yes_no_hints"": [{""answer"": ""no"", ""question"": ""Was he murdered?""}, {""answer"": ""yes"", ""question"": ""Did he fall?""}, {""answer"": ""no"", ""question"": ""Was he in a vehicle?""}, {""answer"": ""yes"", ""question"": ""Was he in the air?""}, {""answer"": ""yes"", ""question"": ""Is the wood relevant?""}]}",He was in a hot air balloon that was losing altitude. He drew the short stick (broken piece of wood) and had to jump to lighten the load.,25,2026-02-16 11:32:17.524446+00,iq
1cd5b46a-bd5a-4f0c-8f58-88551a473fc4,"The Coal, Carrot, and Scarf",A mystery in the yard,lateral_thinking,pattern,1,"{""situation"": ""Five pieces of coal, a carrot, and a scarf are lying on the lawn. Nobody put them there, but there is a perfectly logical reason for them being there. What is it?"", ""yes_no_hints"": [{""answer"": ""no"", ""question"": ""Did a person place them?""}, {""answer"": ""yes"", ""question"": ""Were they part of something else?""}, {""answer"": ""yes"", ""question"": ""Is the weather relevant?""}]}",They were parts of a snowman that melted.,10,2026-02-16 11:32:17.524446+00,iq
6a1b6eed-1e0c-423c-b89c-b64a02fbd832,The Locked Room,Escape the impossible,lateral_thinking,spatial,4,"{""situation"": ""A man is found hanging from the ceiling of an otherwise empty room. The room is locked from the inside. There is a puddle of water on the floor beneath him. How did he hang himself?"", ""yes_no_hints"": [{""answer"": ""no"", ""question"": ""Did someone help him?""}, {""answer"": ""yes"", ""question"": ""Is the water important?""}, {""answer"": ""yes"", ""question"": ""Was there something in the room before?""}, {""answer"": ""yes"", ""question"": ""Did it melt?""}]}","He stood on a large block of ice, which melted, leaving only the puddle.",25,2026-02-16 11:32:17.524446+00,iq
