id,title,description,category,difficulty,modules_json,quiz_json,xp_reward,order_index,created_at,branch
1f188cfc-e685-4180-bb44-447554de3573,How Your Brain Processes Information,Understanding the fundamentals of cognitive processing,logic,1,"[{""type"": ""text"", ""title"": ""Introduction"", ""content"": ""Your brain processes billions of pieces of information every second. But how does it decide what to focus on?""}, {""type"": ""text"", ""title"": ""The Bottleneck"", ""content"": ""Despite its power, your brain can only consciously process about 40-50 bits per second. This is called the attentional bottleneck.""}, {""type"": ""text"", ""title"": ""Dual Processing"", ""content"": ""System 1 (fast, automatic) handles most tasks. System 2 (slow, deliberate) kicks in for complex problems. IQ tests primarily measure System 2.""}, {""type"": ""text"", ""title"": ""Key Takeaway"", ""content"": ""Training your brain to efficiently switch between systems is key to improving cognitive performance.""}]","[{""type"": ""multiple_choice"", ""correct"": 1, ""options"": [""Millions"", ""40-50"", ""Thousands"", ""1-2""], ""question"": ""How many bits per second can your brain consciously process?""}, {""type"": ""true_false"", ""correct"": false, ""question"": ""System 1 thinking is slow and deliberate.""}, {""type"": ""multiple_choice"", ""correct"": 1, ""options"": [""A physical brain structure"", ""The limit on conscious processing"", ""A memory technique"", ""A type of neuron""], ""question"": ""What is the attentional bottleneck?""}]",40,1,2026-02-16 11:32:17.524446+00,iq
2d7c8f39-b0ca-428f-a745-068f065adf04,Pattern Recognition Fundamentals,Learn how your brain detects and uses patterns,pattern,1,"[{""type"": ""text"", ""title"": ""Patterns Everywhere"", ""content"": ""Pattern recognition is one of the most fundamental cognitive abilities. It allows us to predict, plan, and understand the world.""}, {""type"": ""text"", ""title"": ""Types of Patterns"", ""content"": ""Visual patterns (shapes, colors), auditory patterns (music, speech), numerical patterns (sequences), and abstract patterns (rules, relationships).""}, {""type"": ""text"", ""title"": ""The Pattern Engine"", ""content"": ""Your brain's pattern recognition is so powerful it sometimes sees patterns that don't exist—this is called apophenia.""}, {""type"": ""text"", ""title"": ""Training Tips"", ""content"": ""Practice with matrix puzzles and sequence problems to strengthen your pattern recognition circuits.""}]","[{""type"": ""multiple_choice"", ""correct"": 1, ""options"": [""A brain disease"", ""Seeing patterns that don't exist"", ""Perfect pattern recognition"", ""Memory loss""], ""question"": ""What is apophenia?""}, {""type"": ""true_false"", ""correct"": false, ""question"": ""Pattern recognition only works with visual information.""}, {""type"": ""multiple_choice"", ""correct"": 1, ""options"": [""Reading novels"", ""Matrix puzzles"", ""Physical exercise"", ""Sleeping""], ""question"": ""Which activity best trains pattern recognition?""}]",40,2,2026-02-16 11:32:17.524446+00,iq
d1fa479c-6ed0-4a87-8db9-698ac495e348,Working Memory: Your Mental Workspace,Understand and improve your working memory,memory,2,"[{""type"": ""text"", ""title"": ""What is Working Memory?"", ""content"": ""Working memory is your brain's 'mental scratchpad'—it holds and manipulates information for short periods while you use it.""}, {""type"": ""text"", ""title"": ""Capacity Limits"", ""content"": ""Most people can hold 4±1 items in working memory at once (updated from Miller's classic 7±2). This is called your working memory span.""}, {""type"": ""text"", ""title"": ""Chunking"", ""content"": ""You can expand effective capacity by 'chunking'—grouping items into meaningful units. Phone numbers are chunked: 555-867-5309 is 3 chunks, not 10 digits.""}, {""type"": ""text"", ""title"": ""Improving Working Memory"", ""content"": ""N-back tasks, dual tasks, and strategic rehearsal can improve working memory capacity over time.""}]","[{""type"": ""multiple_choice"", ""correct"": 1, ""options"": [""1-2"", ""4±1"", ""10-12"", ""Unlimited""], ""question"": ""How many items can most people hold in working memory?""}, {""type"": ""true_false"", ""correct"": false, ""question"": ""Chunking reduces the total amount of information.""}, {""type"": ""multiple_choice"", ""correct"": 1, ""options"": [""A filing cabinet"", ""A mental scratchpad"", ""A camera"", ""A calculator""], ""question"": ""What is working memory best compared to?""}]",40,3,2026-02-16 11:32:17.524446+00,iq
5544571e-7992-4d33-8fb9-ba2d96ac6336,Spatial Reasoning and Mental Rotation,Master the art of thinking in 3D,spatial,2,"[{""type"": ""text"", ""title"": ""Thinking in Space"", ""content"": ""Spatial reasoning is your ability to understand and manipulate shapes, spaces, and the relationships between objects in your mind.""}, {""type"": ""text"", ""title"": ""Mental Rotation"", ""content"": ""Mental rotation—imagining how objects look when turned—is one of the strongest predictors of STEM success. It's also highly trainable.""}, {""type"": ""text"", ""title"": ""Real-World Applications"", ""content"": ""Surgeons, architects, engineers, and artists all rely heavily on spatial reasoning. It's used in everything from parking a car to reading a map.""}, {""type"": ""text"", ""title"": ""Training Strategy"", ""content"": ""Practice with rotation puzzles, play 3D games like Tetris, and try mentally rotating everyday objects.""}]","[{""type"": ""true_false"", ""correct"": false, ""question"": ""Mental rotation ability is fixed and cannot be improved.""}, {""type"": ""multiple_choice"", ""correct"": 1, ""options"": [""Accountant"", ""Surgeon"", ""Writer"", ""Lawyer""], ""question"": ""Which profession relies heavily on spatial reasoning?""}, {""type"": ""multiple_choice"", ""correct"": 1, ""options"": [""Only 2D shapes"", ""Shapes and their relationships in space"", ""Only mathematical formulas"", ""Only visual art""], ""question"": ""Spatial reasoning involves understanding:""}]",40,4,2026-02-16 11:32:17.524446+00,iq
28f9dd7d-b467-437e-ba64-ffda48d593d8,The Science of Processing Speed,Why speed matters in cognition,speed,2,"[{""type"": ""text"", ""title"": ""Mental Speed"", ""content"": ""Processing speed is how quickly you can take in information, make sense of it, and respond. It's a foundational cognitive ability.""}, {""type"": ""text"", ""title"": ""Speed vs Accuracy"", ""content"": ""There's a fundamental trade-off: going faster often means more errors. The goal is to find the optimal balance for each situation.""}, {""type"": ""text"", ""title"": ""What Affects Speed?"", ""content"": ""Myelination (nerve insulation), neural efficiency, practice/automaticity, sleep, and attention all affect processing speed.""}, {""type"": ""text"", ""title"": ""Speed Training"", ""content"": ""Timed puzzles, rapid-fire quizzes, and reaction time games can all improve processing speed.""}]","[{""type"": ""multiple_choice"", ""correct"": 1, ""options"": [""Only physical reaction time"", ""Taking in and responding to information quickly"", ""Reading speed only"", ""Typing speed""], ""question"": ""Processing speed involves:""}, {""type"": ""true_false"", ""correct"": false, ""question"": ""Going faster always improves performance.""}, {""type"": ""multiple_choice"", ""correct"": 2, ""options"": [""Sleep"", ""Myelination"", ""Hair color"", ""Practice""], ""question"": ""Which factor does NOT affect processing speed?""}]",40,5,2026-02-16 11:32:17.524446+00,iq
4a4f4881-7c4c-4914-82e9-9cc75826e2ae,Logical Reasoning: Deduction vs Induction,Master two types of logical thinking,logic,2,"[{""type"": ""text"", ""title"": ""Two Types of Logic"", ""content"": ""Deductive reasoning goes from general rules to specific conclusions. Inductive reasoning goes from specific observations to general rules.""}, {""type"": ""text"", ""title"": ""Deduction in Action"", ""content"": ""All mammals breathe air. Dogs are mammals. Therefore, dogs breathe air. If the premises are true, the conclusion MUST be true.""}, {""type"": ""text"", ""title"": ""Induction in Action"", ""content"": ""Every swan I've seen is white. Therefore, all swans are white. Inductive conclusions are probable but not guaranteed (black swans exist!).""}, {""type"": ""text"", ""title"": ""Strengthening Both"", ""content"": ""Logic puzzles train deduction. Pattern recognition and data analysis train induction. Both are essential for high-level thinking.""}]","[{""type"": ""multiple_choice"", ""correct"": 1, ""options"": [""Specific to general"", ""General to specific"", ""Random to organized"", ""Simple to complex""], ""question"": ""Deductive reasoning goes from:""}, {""type"": ""true_false"", ""correct"": false, ""question"": ""Inductive conclusions are always 100% certain.""}, {""type"": ""multiple_choice"", ""correct"": 1, ""options"": [""Memorization"", ""Logic puzzles"", ""Physical exercise"", ""Social interaction""], ""question"": ""Which trains deductive reasoning best?""}]",40,6,2026-02-16 11:32:17.524446+00,iq
b2788cec-6e0f-4251-a317-bb995e24f806,Attention and Focus: The Spotlight Model,How attention works and how to improve it,logic,3,"[{""type"": ""text"", ""title"": ""The Spotlight"", ""content"": ""Attention works like a spotlight—it illuminates certain information while leaving the rest in darkness. You can narrow the beam (focus) or widen it (diffuse attention).""}, {""type"": ""text"", ""title"": ""Selective Attention"", ""content"": ""The cocktail party effect: you can focus on one conversation in a noisy room. Your brain filters irrelevant information automatically—but imperfectly.""}, {""type"": ""text"", ""title"": ""Sustained Attention"", ""content"": ""Most people can sustain deep focus for about 20-25 minutes before needing a break. The Pomodoro technique leverages this natural cycle.""}, {""type"": ""text"", ""title"": ""Improving Attention"", ""content"": ""Meditation, single-tasking (not multitasking), adequate sleep, and progressive focus training all strengthen attention.""}]","[{""type"": ""multiple_choice"", ""correct"": 1, ""options"": [""Memory storage"", ""How attention focuses on information"", ""Visual processing"", ""Language comprehension""], ""question"": ""The spotlight model describes:""}, {""type"": ""true_false"", ""correct"": false, ""question"": ""Multitasking improves attention.""}, {""type"": ""multiple_choice"", ""correct"": 1, ""options"": [""5 minutes"", ""20-25 minutes"", ""2 hours"", ""8 hours""], ""question"": ""How long can most people sustain deep focus?""}]",45,7,2026-02-16 11:32:17.524446+00,iq
1540b37b-39de-4e84-bc20-1f358d8da1d0,Fluid vs Crystallized Intelligence,Understanding the two faces of intelligence,logic,3,"[{""type"": ""text"", ""title"": ""Two Types of Intelligence"", ""content"": ""Fluid intelligence (Gf) is your ability to solve novel problems without prior knowledge. Crystallized intelligence (Gc) is your accumulated knowledge and skills.""}, {""type"": ""text"", ""title"": ""Fluid Intelligence"", ""content"": ""Gf peaks in your mid-20s and gradually declines. It's what IQ tests primarily measure—pattern recognition, abstract reasoning, problem-solving.""}, {""type"": ""text"", ""title"": ""Crystallized Intelligence"", ""content"": ""Gc continues to grow throughout life. Vocabulary, expertise, and wisdom all increase with age and experience.""}, {""type"": ""text"", ""title"": ""The Good News"", ""content"": ""While Gf naturally declines with age, training and cognitive engagement can slow this decline significantly. Use it or lose it!""}]","[{""type"": ""multiple_choice"", ""correct"": 1, ""options"": [""Vocabulary knowledge"", ""Solving novel problems"", ""Physical coordination"", ""Social skills""], ""question"": ""Fluid intelligence primarily involves:""}, {""type"": ""true_false"", ""correct"": false, ""question"": ""Crystallized intelligence declines with age.""}, {""type"": ""multiple_choice"", ""correct"": 2, ""options"": [""Crystallized intelligence"", ""Emotional intelligence"", ""Fluid intelligence"", ""Musical intelligence""], ""question"": ""IQ tests primarily measure:""}]",45,8,2026-02-16 11:32:17.524446+00,iq
3dd96e07-829f-465a-ac8c-3fd226f81be8,Memory Techniques: Mnemonics and Method of Loci,Ancient memory techniques that still work,memory,3,"[{""type"": ""text"", ""title"": ""Memory Palace"", ""content"": ""The Method of Loci (Memory Palace) is a 2,500-year-old technique. You place items to remember at specific locations in a familiar place, then mentally walk through to recall them.""}, {""type"": ""text"", ""title"": ""How It Works"", ""content"": ""Your spatial memory is incredibly powerful. By linking abstract information to physical locations, you leverage this strength.""}, {""type"": ""text"", ""title"": ""Other Mnemonics"", ""content"": ""Acronyms (ROY G BIV), rhymes, chunking, and the peg system all exploit your brain's preference for patterns and associations.""}, {""type"": ""text"", ""title"": ""Building Your Palace"", ""content"": ""Start with a familiar route (your home, walk to work). Place 10 items. Make images vivid, unusual, and emotional for stronger encoding.""}]","[{""type"": ""multiple_choice"", ""correct"": 2, ""options"": [""100 years"", ""500 years"", ""2,500 years"", ""50 years""], ""question"": ""The Method of Loci dates back approximately:""}, {""type"": ""true_false"", ""correct"": true, ""question"": ""The Method of Loci primarily leverages spatial memory.""}, {""type"": ""multiple_choice"", ""correct"": 1, ""options"": [""Plain and simple"", ""Vivid and unusual"", ""Black and white"", ""Text-based""], ""question"": ""For best results, mental images should be:""}]",45,9,2026-02-16 11:32:17.524446+00,iq
81e5f7dc-825d-4c19-a50d-9440193cfd1d,Decision Making Under Uncertainty,How to think clearly when you don't have all the facts,logic,3,"[{""type"": ""text"", ""title"": ""Uncertain World"", ""content"": ""Most real-world decisions involve uncertainty. Your brain uses mental shortcuts (heuristics) to cope—sometimes well, sometimes poorly.""}, {""type"": ""text"", ""title"": ""Common Biases"", ""content"": ""Anchoring (over-relying on first information), confirmation bias (seeking info that confirms beliefs), availability bias (judging by easily recalled examples).""}, {""type"": ""text"", ""title"": ""Bayesian Thinking"", ""content"": ""Update your beliefs based on new evidence. Start with a prior probability, then adjust as you learn more. This is how rational decision-makers think.""}, {""type"": ""text"", ""title"": ""Better Decisions"", ""content"": ""Consider the opposite, think in probabilities not certainties, and use pre-mortems (imagine failure, then work backward to prevent it).""}]","[{""type"": ""multiple_choice"", ""correct"": 1, ""options"": [""Always accurate"", ""Mental shortcuts"", ""A type of memory"", ""Mathematical formulas""], ""question"": ""Heuristics are:""}, {""type"": ""true_false"", ""correct"": false, ""question"": ""Confirmation bias means seeking information that challenges your beliefs.""}, {""type"": ""multiple_choice"", ""correct"": 1, ""options"": [""Ignoring new evidence"", ""Updating beliefs with new evidence"", ""Always trusting first impressions"", ""Avoiding decisions""], ""question"": ""Bayesian thinking involves:""}]",45,10,2026-02-16 11:32:17.524446+00,iq
