id,flow_id,question_id,type,prompt,image,options,correct_answer,category,difficulty,has_reinforcement,order_index,created_at,subskill,subtitle,sequence,display_ms,target_position,sequence_variant,target_delay_ms,time_limit_ms
b37e5587-0a4c-415a-b5eb-608a264c7e8a,a0000000-0000-0000-0000-000000000001,101,likert,I tend to think things through before making decisions.,,"[""Strongly Disagree"", ""Disagree"", ""Neutral"", ""Agree"", ""Strongly Agree""]",,self,1,f,1,2026-03-04 15:15:48.186775+00,,,,,,,,
a6096b57-0531-4ebf-8ea7-06198152ce77,a0000000-0000-0000-0000-000000000001,102,likert,I enjoy solving puzzles and brain teasers in my free time.,,"[""Strongly Disagree"", ""Disagree"", ""Neutral"", ""Agree"", ""Strongly Agree""]",,self,1,f,2,2026-03-04 15:15:48.186775+00,,,,,,,,
af7820ee-63bd-45c8-adb8-b99003b95a1e,a0000000-0000-0000-0000-000000000001,103,likert,People often come to me when they need help figuring something out.,,"[""Strongly Disagree"", ""Disagree"", ""Neutral"", ""Agree"", ""Strongly Agree""]",,self,1,f,3,2026-03-04 15:15:48.186775+00,,,,,,,,
84ebf2e0-c7f0-4501-a74f-9e00579b5369,a0000000-0000-0000-0000-000000000001,104,likert,I pick up new skills faster than most people I know.,,"[""Strongly Disagree"", ""Disagree"", ""Neutral"", ""Agree"", ""Strongly Agree""]",,self,1,f,4,2026-03-04 15:15:48.186775+00,,,,,,,,
0862a124-5842-429d-afe1-5f43f44ebb81,a0000000-0000-0000-0000-000000000001,105,likert,I enjoy finding creative solutions to everyday problems.,,"[""Strongly Disagree"", ""Disagree"", ""Neutral"", ""Agree"", ""Strongly Agree""]",,self,1,f,5,2026-03-04 15:15:48.186775+00,,,,,,,,
960c6149-71b8-4c48-924e-84f2f7d4cd57,a0000000-0000-0000-0000-000000000001,106,likert,I notice details that other people tend to miss.,,"[""Strongly Disagree"", ""Disagree"", ""Neutral"", ""Agree"", ""Strongly Agree""]",,self,1,f,6,2026-03-04 15:15:48.186775+00,,,,,,,,
8e891dfb-835b-4a42-b315-23d242bcb428,a0000000-0000-0000-0000-000000000001,107,likert,I believe my intelligence is one of my strongest qualities.,,"[""Strongly Disagree"", ""Disagree"", ""Neutral"", ""Agree"", ""Strongly Agree""]",,self,1,f,7,2026-03-04 15:15:48.186775+00,,,,,,,,
69d81c1e-00f5-4751-88b2-41942d1e6932,a0000000-0000-0000-0000-000000000001,201,analogy,Hot is to Cold as Day is to ___,,"[""Night"", ""Morning"", ""Sun"", ""Dark""]",0,logic,1,f,8,2026-03-04 15:15:48.186775+00,,,,,,,,
59506827-cfde-4247-ab27-989621fd9c08,a0000000-0000-0000-0000-000000000001,202,analogy,Dog is to Puppy as Cat is to ___,,"[""Kitten"", ""Cub"", ""Pup"", ""Foal""]",0,logic,1,f,9,2026-03-04 15:15:48.186775+00,,,,,,,,
b3cdf0e0-e2e5-4987-94d6-f20e4ffb0a0a,a0000000-0000-0000-0000-000000000001,203,sequence,"What comes next? 2, 4, 6, 8, ___",,"[""10"", ""12"", ""9"", ""11""]",0,pattern,1,f,10,2026-03-04 15:15:48.186775+00,,,,,,,,
b24f92ea-8637-4d72-9381-2b0610d13398,a0000000-0000-0000-0000-000000000001,204,sequence,"What comes next? 5, 10, 15, 20, ___",,"[""25"", ""30"", ""22"", ""24""]",0,pattern,1,f,11,2026-03-04 15:15:48.186775+00,,,,,,,,
b6414ed2-4c52-4d03-88a4-6ae384955f20,a0000000-0000-0000-0000-000000000001,205,multipleChoice,"If all dogs are animals, and Rex is a dog, what must be true?",,"[""Rex is an animal"", ""Rex is a cat"", ""All animals are dogs"", ""Rex is not real""]",0,logic,1,f,12,2026-03-04 15:15:48.186775+00,,,,,,,,
59962cbd-a3eb-4237-9a66-0f06baec9245,e0000000-0000-0000-0000-000000000001,1007,visualPuzzle,Choose your answer:,static_q14,"[""A"", ""B"", ""C"", ""D"", ""E"", ""F""]",4,spatial,2,f,1,2026-06-26 16:19:42.122484+00,pattern recognition,,,,,,,
c211d028-7841-48f6-90cb-46d7b6292fcd,e0000000-0000-0000-0000-000000000001,1010,oddOneOut,Which one doesn't belong?,,"[""▲"", ""▲"", ""▲"", ""▼"", ""▲"", ""▲""]",3,pattern,1,t,2,2026-06-26 16:19:42.122484+00,visual attention,,,,,,,3000
824bd6b0-deca-42a8-8790-66dc7b1864e9,e0000000-0000-0000-0000-000000000001,1006,memorySequence,Memorize this sequence,,"[""7"", ""2"", ""9"", ""4"", ""5"", ""1""]",1,logic,1,f,3,2026-06-26 16:19:42.122484+00,working memory,You'll be asked about a specific position.,"[""7"", ""2"", ""9"", ""4""]",3000,2,digit,,
b828daee-f2a1-4506-adf3-dc2b83070d04,e0000000-0000-0000-0000-000000000001,1023,multipleChoice,Bird is to nest as bee is to:,,"[""Honey"", ""Flower"", ""Hive"", ""Wing"", ""Insect""]",2,logic,1,f,4,2026-06-26 16:19:42.122484+00,verbal analogy,,,,,,,
a2e7af9c-df5c-4bb0-8a09-4c7321888117,e0000000-0000-0000-0000-000000000001,1012,visualPuzzle,Choose your answer:,static_q17,"[""A"", ""B"", ""C"", ""D"", ""E"", ""F""]",4,pattern,2,f,5,2026-06-26 16:19:42.122484+00,attribute matrix,,,,,,,
7120659d-3ee4-4b0b-8967-46d7992bb14d,e0000000-0000-0000-0000-000000000001,1003,likert,I enjoy solving problems and puzzles.,,"[""Strongly disagree"", ""Disagree"", ""Neutral"", ""Agree"", ""Strongly agree""]",,self,1,t,6,2026-06-26 16:19:42.122484+00,self-perception,,,,,,,
255a0b26-8be3-4a0e-a646-e7e5828b73bf,e0000000-0000-0000-0000-000000000001,1008,memorySequence,Memorize this sequence,,"[""K"", ""R"", ""M"", ""T"", ""B"", ""L""]",3,logic,2,f,7,2026-06-26 16:19:42.122484+00,working memory,You'll be asked about a specific position.,"[""K"", ""R"", ""M"", ""T"", ""B""]",3500,4,letter,,
